"","year","month","protest.volume"
"1",1990,1,0
"2",1990,2,0
"3",1990,3,0
"4",1990,4,1
"5",1990,5,3
"6",1990,6,1
"7",1990,7,3
"8",1990,8,4
"9",1990,9,5
"10",1990,10,4
"11",1990,11,6
"12",1990,12,0
"13",1991,1,3
"14",1991,2,1
"15",1991,3,1
"16",1991,4,1
"17",1991,5,2
"18",1991,6,2
"19",1991,7,0
"20",1991,8,2
"21",1991,9,2
"22",1991,10,7
"23",1991,11,2
"24",1991,12,1
"25",1992,1,1
"26",1992,2,1
"27",1992,3,6
"28",1992,4,0
"29",1992,5,1
"30",1992,6,12
"31",1992,7,0
"32",1992,8,1
"33",1992,9,2
"34",1992,10,1
"35",1992,11,7
"36",1992,12,3
"37",1993,1,0
"38",1993,2,3
"39",1993,3,6
"40",1993,4,2
"41",1993,5,0
"42",1993,6,1
"43",1993,7,0
"44",1993,8,1
"45",1993,9,1
"46",1993,10,6
"47",1993,11,5
"48",1993,12,1
"49",1994,1,1
"50",1994,2,3
"51",1994,3,10
"52",1994,4,0
"53",1994,5,4
"54",1994,6,0
"55",1994,7,0
"56",1994,8,1
"57",1994,9,0
"58",1994,10,1
"59",1994,11,0
"60",1994,12,0
"61",1995,1,0
"62",1995,2,2
"63",1995,3,1
"64",1995,4,0
"65",1995,5,5
"66",1995,6,1
"67",1995,7,3
"68",1995,8,0
"69",1995,9,8
"70",1995,10,4
"71",1995,11,7
"72",1995,12,6
"73",1996,1,2
"74",1996,2,0
"75",1996,3,1
"76",1996,4,0
"77",1996,5,2
"78",1996,6,1
"79",1996,7,0
"80",1996,8,9
"81",1996,9,3
"82",1996,10,4
"83",1996,11,3
"84",1996,12,2
"85",1997,1,3
"86",1997,2,2
"87",1997,3,3
"88",1997,4,2
"89",1997,5,1
"90",1997,6,2
"91",1997,7,0
"92",1997,8,2
"93",1997,9,0
"94",1997,10,0
"95",1997,11,1
"96",1997,12,6
"97",1998,1,8
"98",1998,2,2
"99",1998,3,2
"100",1998,4,2
"101",1998,5,1
"102",1998,6,2
"103",1998,7,0
"104",1998,8,0
"105",1998,9,1
"106",1998,10,6
"107",1998,11,1
"108",1998,12,3
"109",1999,1,2
"110",1999,2,2
"111",1999,3,0
"112",1999,4,0
"113",1999,5,1
"114",1999,6,0
"115",1999,7,0
"116",1999,8,1
"117",1999,9,0
"118",1999,10,4
"119",1999,11,0
"120",1999,12,1
"121",2000,1,2
"122",2000,2,0
"123",2000,3,1
"124",2000,4,1
"125",2000,5,1
"126",2000,6,1
"127",2000,7,1
"128",2000,8,2
"129",2000,9,1
"130",2000,10,1
"131",2000,11,0
"132",2000,12,1
"133",2001,1,0
"134",2001,2,0
"135",2001,3,2
"136",2001,4,0
"137",2001,5,0
"138",2001,6,0
"139",2001,7,0
"140",2001,8,0
"141",2001,9,0
"142",2001,10,0
"143",2001,11,0
"144",2001,12,0
"145",2002,1,1
"146",2002,2,1
"147",2002,3,1
"148",2002,4,1
"149",2002,5,0
"150",2002,6,0
"151",2002,7,1
"152",2002,8,0
"153",2002,9,0
"154",2002,10,1
"155",2002,11,3
"156",2002,12,0
"157",2003,1,0
"158",2003,2,0
"159",2003,3,0
"160",2003,4,1
"161",2003,5,4
"162",2003,6,2
"163",2003,7,0
"164",2003,8,0
"165",2003,9,1
"166",2003,10,1
"167",2003,11,1
"168",2003,12,2
"169",2004,1,1
"170",2004,2,1
"171",2004,3,1
"172",2004,4,0
"173",2004,5,1
"174",2004,6,0
"175",2004,7,0
"176",2004,8,0
"177",2004,9,0
"178",2004,10,0
"179",2004,11,0
"180",2004,12,1
"181",2005,1,0
"182",2005,2,2
"183",2005,3,1
"184",2005,4,0
"185",2005,5,0
"186",2005,6,0
"187",2005,7,1
"188",2005,8,0
"189",2005,9,2
"190",2005,10,2
"191",2005,11,0
"192",2005,12,0
"193",2006,1,0
"194",2006,2,0
"195",2006,3,9
"196",2006,4,2
"197",2006,5,1
"198",2006,6,0
"199",2006,7,0
"200",2006,8,0
"201",2006,9,0
"202",2006,10,0
"203",2006,11,0
"204",2006,12,0
"205",2007,1,0
"206",2007,2,0
"207",2007,3,1
"208",2007,4,0
"209",2007,5,1
"210",2007,6,0
"211",2007,7,0
"212",2007,8,0
"213",2007,9,0
"214",2007,10,1
"215",2007,11,3
"216",2007,12,0
"217",2008,1,0
"218",2008,2,0
"219",2008,3,0
"220",2008,4,0
"221",2008,5,5
"222",2008,6,0
"223",2008,7,0
"224",2008,8,0
"225",2008,9,1
"226",2008,10,0
"227",2008,11,0
"228",2008,12,0
"229",2009,1,2
"230",2009,2,1
"231",2009,3,1
"232",2009,4,1
"233",2009,5,2
"234",2009,6,0
"235",2009,7,0
"236",2009,8,0
"237",2009,9,0
"238",2009,10,2
"239",2009,11,0
"240",2009,12,0
"241",2010,1,0
"242",2010,2,0
"243",2010,3,0
"244",2010,4,0
"245",2010,5,1
"246",2010,6,0
"247",2010,7,0
"248",2010,8,0
"249",2010,9,2
"250",2010,10,7
"251",2010,11,0
"252",2010,12,0
"253",2011,1,0
"254",2011,2,1
"255",2011,3,0
"256",2011,4,1
"257",2011,5,0
"258",2011,6,0
"259",2011,7,0
"260",2011,8,0
"261",2011,9,0
"262",2011,10,0
"263",2011,11,0
"264",2011,12,0
"265",2012,1,1
"266",2012,2,0
"267",2012,3,1
"268",2012,4,0
"269",2012,5,0
"270",2012,6,0
"271",2012,7,0
"272",2012,8,1
"273",2012,9,0
"274",2012,10,1
"275",2012,11,3
"276",2012,12,0
"277",2013,1,3
"278",2013,2,0
"279",2013,3,2
"280",2013,4,2
"281",2013,5,3
"282",2013,6,0
"283",2013,7,1
"284",2013,8,0
"285",2013,9,1
"286",2013,10,2
"287",2013,11,2
"288",2013,12,0
"289",2014,1,1
"290",2014,2,2
"291",2014,3,1
"292",2014,4,1
"293",2014,5,0
"294",2014,6,3
"295",2014,7,0
"296",2014,8,1
"297",2014,9,1
"298",2014,10,2
"299",2014,11,2
"300",2014,12,3
"301",2015,1,0
"302",2015,2,0
"303",2015,3,0
"304",2015,4,0
"305",2015,5,0
"306",2015,6,3
"307",2015,7,5
"308",2015,8,2
"309",2015,9,1
"310",2015,10,2
"311",2015,11,1
"312",2015,12,0
"313",2016,1,5
"314",2016,2,5
"315",2016,3,5
"316",2016,4,2
"317",2016,5,10
"318",2016,6,6
"319",2016,7,1
"320",2016,8,0
"321",2016,9,5
"322",2016,10,8
"323",2016,11,0
"324",2016,12,2
"325",2017,1,0
"326",2017,2,2
"327",2017,3,4
"328",2017,4,2
"329",2017,5,2
"330",2017,6,2
"331",2017,7,0
"332",2017,8,2
"333",2017,9,3
"334",2017,10,1
"335",2017,11,0
"336",2017,12,1
"337",2018,1,3
"338",2018,2,0
"339",2018,3,1
"340",2018,4,0
"341",2018,5,0
"342",2018,6,0
"343",2018,7,0
"344",2018,8,0
"345",2018,9,0
"346",2018,10,0
"347",2018,11,0
"348",2018,12,0
