"","year","month","protest.volume"
"1",1990,1,81
"2",1990,2,64
"3",1990,3,65
"4",1990,4,39
"5",1990,5,56
"6",1990,6,34
"7",1990,7,39
"8",1990,8,48
"9",1990,9,30
"10",1990,10,34
"11",1990,11,48
"12",1990,12,34
"13",1991,1,29
"14",1991,2,23
"15",1991,3,29
"16",1991,4,32
"17",1991,5,40
"18",1991,6,37
"19",1991,7,24
"20",1991,8,37
"21",1991,9,31
"22",1991,10,39
"23",1991,11,32
"24",1991,12,19
"25",1992,1,42
"26",1992,2,32
"27",1992,3,42
"28",1992,4,31
"29",1992,5,45
"30",1992,6,38
"31",1992,7,27
"32",1992,8,26
"33",1992,9,27
"34",1992,10,34
"35",1992,11,30
"36",1992,12,35
"37",1993,1,25
"38",1993,2,20
"39",1993,3,38
"40",1993,4,21
"41",1993,5,48
"42",1993,6,30
"43",1993,7,22
"44",1993,8,19
"45",1993,9,19
"46",1993,10,35
"47",1993,11,25
"48",1993,12,27
"49",1994,1,25
"50",1994,2,32
"51",1994,3,38
"52",1994,4,19
"53",1994,5,27
"54",1994,6,24
"55",1994,7,54
"56",1994,8,50
"57",1994,9,23
"58",1994,10,35
"59",1994,11,39
"60",1994,12,24
"61",1995,1,20
"62",1995,2,32
"63",1995,3,41
"64",1995,4,26
"65",1995,5,37
"66",1995,6,29
"67",1995,7,28
"68",1995,8,22
"69",1995,9,36
"70",1995,10,28
"71",1995,11,32
"72",1995,12,24
"73",1996,1,34
"74",1996,2,27
"75",1996,3,31
"76",1996,4,35
"77",1996,5,34
"78",1996,6,25
"79",1996,7,38
"80",1996,8,29
"81",1996,9,24
"82",1996,10,43
"83",1996,11,48
"84",1996,12,41
"85",1997,1,72
"86",1997,2,53
"87",1997,3,46
"88",1997,4,35
"89",1997,5,32
"90",1997,6,32
"91",1997,7,47
"92",1997,8,33
"93",1997,9,30
"94",1997,10,34
"95",1997,11,36
"96",1997,12,38
"97",1998,1,38
"98",1998,2,46
"99",1998,3,51
"100",1998,4,45
"101",1998,5,39
"102",1998,6,38
"103",1998,7,24
"104",1998,8,21
"105",1998,9,44
"106",1998,10,38
"107",1998,11,25
"108",1998,12,33
"109",1999,1,36
"110",1999,2,25
"111",1999,3,34
"112",1999,4,35
"113",1999,5,39
"114",1999,6,24
"115",1999,7,41
"116",1999,8,29
"117",1999,9,36
"118",1999,10,46
"119",1999,11,37
"120",1999,12,29
"121",2000,1,26
"122",2000,2,44
"123",2000,3,53
"124",2000,4,49
"125",2000,5,43
"126",2000,6,32
"127",2000,7,37
"128",2000,8,29
"129",2000,9,47
"130",2000,10,51
"131",2000,11,45
"132",2000,12,32
"133",2001,1,30
"134",2001,2,49
"135",2001,3,44
"136",2001,4,34
"137",2001,5,36
"138",2001,6,28
"139",2001,7,41
"140",2001,8,36
"141",2001,9,21
"142",2001,10,22
"143",2001,11,28
"144",2001,12,24
"145",2002,1,32
"146",2002,2,27
"147",2002,3,49
"148",2002,4,45
"149",2002,5,45
"150",2002,6,22
"151",2002,7,30
"152",2002,8,27
"153",2002,9,33
"154",2002,10,29
"155",2002,11,42
"156",2002,12,34
"157",2003,1,32
"158",2003,2,26
"159",2003,3,36
"160",2003,4,30
"161",2003,5,40
"162",2003,6,46
"163",2003,7,24
"164",2003,8,19
"165",2003,9,38
"166",2003,10,35
"167",2003,11,45
"168",2003,12,17
"169",2004,1,25
"170",2004,2,35
"171",2004,3,59
"172",2004,4,49
"173",2004,5,36
"174",2004,6,29
"175",2004,7,28
"176",2004,8,42
"177",2004,9,40
"178",2004,10,37
"179",2004,11,32
"180",2004,12,31
"181",2005,1,30
"182",2005,2,43
"183",2005,3,74
"184",2005,4,49
"185",2005,5,45
"186",2005,6,43
"187",2005,7,42
"188",2005,8,21
"189",2005,9,33
"190",2005,10,32
"191",2005,11,44
"192",2005,12,41
"193",2006,1,32
"194",2006,2,37
"195",2006,3,54
"196",2006,4,53
"197",2006,5,52
"198",2006,6,50
"199",2006,7,29
"200",2006,8,22
"201",2006,9,39
"202",2006,10,27
"203",2006,11,26
"204",2006,12,33
"205",2007,1,44
"206",2007,2,37
"207",2007,3,43
"208",2007,4,46
"209",2007,5,47
"210",2007,6,26
"211",2007,7,21
"212",2007,8,26
"213",2007,9,46
"214",2007,10,37
"215",2007,11,52
"216",2007,12,20
"217",2008,1,40
"218",2008,2,32
"219",2008,3,34
"220",2008,4,34
"221",2008,5,53
"222",2008,6,45
"223",2008,7,24
"224",2008,8,30
"225",2008,9,20
"226",2008,10,32
"227",2008,11,29
"228",2008,12,25
"229",2009,1,30
"230",2009,2,26
"231",2009,3,41
"232",2009,4,29
"233",2009,5,45
"234",2009,6,33
"235",2009,7,34
"236",2009,8,32
"237",2009,9,34
"238",2009,10,17
"239",2009,11,21
"240",2009,12,34
"241",2010,1,18
"242",2010,2,43
"243",2010,3,47
"244",2010,4,34
"245",2010,5,47
"246",2010,6,34
"247",2010,7,33
"248",2010,8,32
"249",2010,9,41
"250",2010,10,40
"251",2010,11,43
"252",2010,12,40
"253",2011,1,46
"254",2011,2,73
"255",2011,3,94
"256",2011,4,82
"257",2011,5,58
"258",2011,6,55
"259",2011,7,48
"260",2011,8,34
"261",2011,9,47
"262",2011,10,53
"263",2011,11,48
"264",2011,12,50
"265",2012,1,50
"266",2012,2,68
"267",2012,3,63
"268",2012,4,41
"269",2012,5,58
"270",2012,6,20
"271",2012,7,47
"272",2012,8,27
"273",2012,9,44
"274",2012,10,48
"275",2012,11,58
"276",2012,12,29
"277",2013,1,54
"278",2013,2,44
"279",2013,3,50
"280",2013,4,49
"281",2013,5,43
"282",2013,6,48
"283",2013,7,59
"284",2013,8,43
"285",2013,9,47
"286",2013,10,41
"287",2013,11,61
"288",2013,12,47
"289",2014,1,92
"290",2014,2,100
"291",2014,3,88
"292",2014,4,55
"293",2014,5,75
"294",2014,6,40
"295",2014,7,37
"296",2014,8,46
"297",2014,9,42
"298",2014,10,68
"299",2014,11,75
"300",2014,12,51
"301",2015,1,78
"302",2015,2,77
"303",2015,3,75
"304",2015,4,61
"305",2015,5,94
"306",2015,6,75
"307",2015,7,77
"308",2015,8,73
"309",2015,9,85
"310",2015,10,65
"311",2015,11,60
"312",2015,12,37
"313",2016,1,85
"314",2016,2,69
"315",2016,3,65
"316",2016,4,70
"317",2016,5,73
"318",2016,6,58
"319",2016,7,49
"320",2016,8,44
"321",2016,9,56
"322",2016,10,59
"323",2016,11,42
"324",2016,12,43
"325",2017,1,43
"326",2017,2,63
"327",2017,3,46
"328",2017,4,50
"329",2017,5,60
"330",2017,6,43
"331",2017,7,39
"332",2017,8,40
"333",2017,9,37
"334",2017,10,42
"335",2017,11,43
"336",2017,12,34
"337",2018,1,49
"338",2018,2,40
"339",2018,3,48
"340",2018,4,0
"341",2018,5,0
"342",2018,6,0
"343",2018,7,0
"344",2018,8,0
"345",2018,9,0
"346",2018,10,0
"347",2018,11,0
"348",2018,12,1
